Source,Target
Sir William Hamilton,"Francis Garden, Lord Gardenstone"
Sir William Hamilton,Lusieri
Sir William Hamilton,James Clark
Sir William Hamilton,Luigi Valadier
Sir William Hamilton,"Phillipina (Deane), Lady Knight"
Sir William Hamilton,Lady Nelson
Sir William Hamilton,Capt. John Jervis
Sir William Hamilton,Cardinal Ruffo
Sir William Hamilton,Charles Lock
Sir William Hamilton,Lord Keith
Sir William Hamilton,Prince Leopold
Sir William Hamilton,Cornelia Knight
Sir William Hamilton,Thomas Hope
Sir William Hamilton,Horatio Nelson
Sir William Hamilton,"Ferdinand IV, King of Naples and Sicily"
Sir William Hamilton,Porcinari
Sir William Hamilton,"P.F. Hagues, the Baron d'Hancarville"
Sir William Hamilton,David Allan
Sir William Hamilton,Mozart
Sir William Hamilton,"Maria Carolina of Habsburg, Queen of Naples"
Sir William Hamilton,Joseph II of Austria
Sir William Hamilton,Charles Edward Louis Philip Casimir Stuart
Sir William Hamilton,John Ramsay
Sir William Hamilton,"Dorothy Cavendish, Duchess of Portland"
Sir William Hamilton,Mrs Mary Cadogan
Sir William Hamilton,"Louisa (Skirne), Lady Clarges"
Sir William Hamilton,Nathaniel Marchant
Sir William Hamilton,James Irvine
Sir William Hamilton,John Francis Edward Acton
Sir William Hamilton,"Frederick William II, King of Prussia"
Sir William Hamilton,Candido
Sir William Hamilton,"George III, King of the United Kingdom"
Sir William Hamilton,General Mack
Sir William Hamilton,General Championnet
Sir William Hamilton,Prince 'Draydrixton'
Thomas Jenkins,Thomas Hudson
Thomas Jenkins,Henry Lyte
Thomas Jenkins,Richard Wilson
Thomas Jenkins,William Lock
Thomas Jenkins,Thomas Brand
Thomas Jenkins,Thomas Hollis
Thomas Jenkins,"William Legge, 2nd Earl of Dartmouth"
Thomas Jenkins,Stephen Beckingham
Thomas Jenkins,Nikolaus Mosmann
Thomas Jenkins,Francisco Geminiani
Thomas Jenkins,Gavin Hamilton
Thomas Jenkins,Cardinal Albani
Thomas Jenkins,Horace Mann
Thomas Jenkins,Abbe Peter Grant
Thomas Jenkins,"Frederick North, Lord North"
Thomas Jenkins,James Russel
Thomas Jenkins,John Parker
Thomas Jenkins,James Forrester
Thomas Jenkins,Andrew Lumisden
Thomas Jenkins,John Fordwich
Thomas Jenkins,Robert Strange
Thomas Jenkins,Ignazio Hugford
Thomas Jenkins,Richard Dalton
Thomas Jenkins,"George Montagu, Lord Cardigan"
Thomas Jenkins,Sir Richard Lyttelton
Thomas Jenkins,Thomas Jones
Thomas Jenkins,Joseph Wilcocks
Thomas Jenkins,Winckelmann
Thomas Jenkins,Prince Emilio Altieri
Thomas Jenkins,Baron Stosch
Thomas Jenkins,Henry Hoare
Thomas Jenkins,Mengs
Thomas Jenkins,"Henry Augustus, Duke of York"
Thomas Jenkins,Piranesi
Thomas Jenkins,Bartolozzi
Thomas Jenkins,John Plimmer
Thomas Jenkins,James Adam
Thomas Jenkins,William Weddell
Thomas Jenkins,Joseph Nollekens
Thomas Jenkins,Willaim Patoun
Thomas Jenkins,"Clement XIV, Pope"
Thomas Jenkins,James Northcote
Thomas Jenkins,Sir William Hamilton
Thomas Jenkins,"William Henry, Duke of Gloucester"
Thomas Jenkins,"Henry Frederick, Duke of Cumberland"
Thomas Jenkins,Fr. John Thorpe
Thomas Jenkins,Barrazzi
Thomas Jenkins,Charles Townley
Thomas Jenkins,John  Deare
Thomas Jenkins,"Lord Thomas Noel (Hill), 2nd Baron Berwick"
Thomas Jenkins,Angelica Kauffman
Thomas Jenkins,Anna Maria Jenkins
Thomas Jenkins,Carlo Albacini
Thomas Jenkins,Cavaceppi
Thomas Jenkins,Lorenzo Cardelli
Thomas Jenkins,Orazio Orlandi
Thomas Jenkins,James Hugh Smith Barry
Thomas Jenkins,Giuseppe Staderni
Thomas Jenkins,Joshua Reynolds
Thomas Jenkins,Sir (Andrew) Corbet Corbet
Thomas Jenkins,Robert Fagan
Thomas Jenkins,Princess Albertina of Sweden
Thomas Jenkins,Prince Augustus Frederick
Thomas Jenkins,Sir William 6th Bt. Forbes
Thomas Jenkins,"Francis Garden, Lord Gardenstone"
Thomas Jenkins,Elizabeth Davers
Thomas Jenkins,"Elizabeth (Hervey), Lady Foster"
Thomas Jenkins,James Byres
Thomas Jenkins,Anton Maron
Thomas Jenkins,John Jenkins
Thomas Jenkins,"George Augustus Herbert, Lord Herbert"
Thomas Jenkins,Giovanni Martinez
Thomas Jenkins,Jonathan Skelton
Thomas Jenkins,"Forrester, Irish MP"
Thomas Jenkins,"Pius VI, Pope"
Thomas Jenkins,Christopher Hewetson
Thomas Jenkins,Caraffa
Thomas Jenkins,Archduchess Maria Christina
Thomas Jenkins,"Paul, future Emperor of Russia"
Thomas Jenkins,"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper"
Thomas Jenkins,"Gustavus III, King of Sweden"
Thomas Jenkins,Baron von Hanstein
Thomas Jenkins,James Jenkins
Thomas Jenkins,Castelli
Gavin Hamilton,Agostino Masucci
Gavin Hamilton,James 'Athenian' Stuart
Gavin Hamilton,Nicholas Revett
Gavin Hamilton,Matthew Brettingham
Gavin Hamilton,Lord Tweeddale
Gavin Hamilton,John Day
Gavin Hamilton,Robert Adam
Gavin Hamilton,Cardinal Lante
Gavin Hamilton,Nathaniel Curzon
Gavin Hamilton,Henry Dawkins
Gavin Hamilton,Charles Compton
Gavin Hamilton,Batoni
Gavin Hamilton,James Grant
Gavin Hamilton,"Henry Temple, 2nd Viscount Palmerston"
Gavin Hamilton,"Francis Russell, Marquess of Tavistocl"
Gavin Hamilton,Luke Gardiner
Gavin Hamilton,"Douglas Hamilton, 8th Duke of Hamilton"
Gavin Hamilton,Winckelmann
Gavin Hamilton,Daniel Crespin
Gavin Hamilton,John Aikman
Gavin Hamilton,Thomas Jenkins
Gavin Hamilton,"Charles Hope, Lord Hope"
Gavin Hamilton,"John Fitzpatrick, 2nd Earl of Upper Ossory"
Gavin Hamilton,"John Spencer, 1st Viscount Spencer"
Gavin Hamilton,Dr Robertson
Gavin Hamilton,James Boswell
Gavin Hamilton,William Weddell
Gavin Hamilton,Emma Hamilton
Gavin Hamilton,Hon. Thomas Pelham
Gavin Hamilton,Thomas Coke
Gavin Hamilton,Horace Mann
Gavin Hamilton,James Martin
Gavin Hamilton,Monti
Gavin Hamilton,Lord Robert Spencer
Gavin Hamilton,James Byres
Gavin Hamilton,Charles Townley
Gavin Hamilton,Colin Morison
Gavin Hamilton,Nolekins
Gavin Hamilton,Lord Egremont
Gavin Hamilton,G.B. Visconti
Gavin Hamilton,Piranesi
Gavin Hamilton,Pacetti
Gavin Hamilton,Pierantoni
Gavin Hamilton,Panini
Gavin Hamilton,Zoffany
Gavin Hamilton,Sir William Hamilton
Gavin Hamilton,James Hugh Smith Barry
Gavin Hamilton,Christopher Hewetson
Gavin Hamilton,Tofanelli
Gavin Hamilton,William Artaud
Gavin Hamilton,Cunego
Gavin Hamilton,Prince Borghese
Gavin Hamilton,William Patoun
Gavin Hamilton,Volpato
Gavin Hamilton,2nd Earl of Shelburne
Gavin Hamilton,Boccapaduli
Gavin Hamilton,Michelangelo II Ricciolini
Gavin Hamilton,F.J. Lonsing
Gavin Hamilton,Barberini
Gavin Hamilton,Cardinal Alexander Albani
Gavin Hamilton,Cavaceppi
Gavin Hamilton,Canova
James Byres,Thomas Jones
James Byres,Thomas Jenkins
James Byres,Robert Mylne
James Byres,Mengs
James Byres,"Sir James, 8th Baron Macdonald"
James Byres,"Sir Watkin Williams, 4th Bt. Wynn"
James Byres,"Henry Bellings, 8th Baron Arundell"
James Byres,Charles William Bury
James Byres,James Martin
James Byres,Piranesi
James Byres,Christopher Norton
James Byres,Lord Richard Cavendish
James Byres,James Russel
James Byres,Colin Morison
James Byres,Edward Gibbon
James Byres,Philip Yorke
James Byres,Parkinson
James Byres,Rev. Thomas Brand
James Byres,Charles Long
James Byres,James Clitherow
James Byres,Fr. John Thorpe
James Byres,"Brownlow Cecil, 9th Earl of Exeter"
James Byres,Patrick Moir
James Byres,John Ramsay
James Byres,Count Soderini
James Byres,Sir William Hamilton
James Byres,Duke of Rutland
James Byres,Johsua Reynolds
James Byres,Pichler
James Byres,Wincenzo Pacetti
James Byres,Bertolotti
James Byres,Batoni
James Byres,Gavin Hamilton
James Byres,Alexander Nasmyth
James Byres,Thomas Banks
James Byres,Philip Wickstead
James Byres,Solomon Delane
James Byres,Jacob More
James Byres,Hugh Douglas Hamilton
James Byres,Hugh Primrose Dean
James Byres,William Patoun
James Byres,Anne Forbes
James Byres,"Edward Clive, 2nd Baron Clive"
James Byres,Franciszeck Smuglewicz
James Byres,Anton Maron
James Byres,Lawrence Dundas
James Byres,George Wilbraham
James Byres,Mark Parker
James Byres,Mr Lascelles
James Byres,Allan Ramsay
James Byres,Donna Cordelia Barberini-Colonna
James Byres,Boccapaduli
James Byres,David Allan
James Byres,Patrick Byres
James Byres,Isabella Byres
James Byres,Charles Edward Louis Philip Casimir Stuart
James Byres,Cardinal Duke of York Henry Benedict Maria Clement
William Richard Hamilton,Lusieri
William Richard Hamilton,Theodor Iwanovitch
William Richard Hamilton,Balestra
Horatio Nelson,Josiah Nisbet
"Emma, Lady Hamilton",Mrs Mary Cadogan
"Emma, Lady Hamilton",Sir Harry Fetherstonhaugh
"Emma, Lady Hamilton",Hon. Charles Francis Greville
"Emma, Lady Hamilton",Horatio Nelson
Catherine Barlow,Lord Fortrose
Catherine Barlow,Horace Mann
Catherine Barlow,Maron
Catherine Barlow,Winckelmann
Catherine Barlow,Mrs Anne Miller
Catherine Barlow,Hon. Horace Walpole
Catherine Barlow,Abbe Peter Grant
Catherine Barlow,David Allan
Catherine Barlow,Mozart
Lord Fortrose,Robert Adam
Lord Fortrose,Dr Mackenzie
Lord Fortrose,Nathaniel Hone
Lord Fortrose,Dance
Lord Fortrose,James Martin
Lord Fortrose,Colin Morisin
Lord Fortrose,Boswell
Lord Fortrose,Madame Balbi
Lord Fortrose,Horace Mann
Lord Fortrose,Dr Charles Burney
Lord Fortrose,Caffarelli
Lord Fortrose,Fabris
Lord Fortrose,Gaetano Pugnani
Lord Fortrose,Mrs Edward Walter
Lord Fortrose,Harriot Walter
Lord Fortrose,Tierney
Lord Fortrose,Lord Grimston
Lord Fortrose,Lord Fortrose
Lord Fortrose,Humphrey Morice
Lord Fortrose,Patch
Lord Fortrose,Pietro Antoniani
Lord Fortrose,Mr Gualtieri
Lord Fortrose,"Ferdinand IV, King of Naples and Sicily"
Lord Fortrose,Abbe Peter Grant
Lord Fortrose,Mozart
Lord Fortrose,Mr Edward Walter
Lord Fortrose,Harriet Powell
Lord Fortrose,Neville
Horace Mann,Hon. Horace Walpole
Horace Mann,Lady Grisell Baillie
Horace Mann,Charles Fane
Horace Mann,Sir Robert Walpole
Horace Mann,Cardinal Albani
Horace Mann,Burrington Goldsworthy
Horace Mann,Edward Gibbon
Horace Mann,Alexander Drummond
Horace Mann,Thomas Brand
Horace Mann,2nd Earl Fitzwilliam
Horace Mann,"George Finch, 9th Earl of Winchilsea"
Horace Mann,Thomas Patch
Horace Mann,"John Child, 2nd Earl Tylney"
Horace Mann,Spence
Horace Mann,Stosch
Horace Mann,5th Earl of Cork and Orrery
"William Petty, 2nd Earl of Shelburne",Capt. Thomas Carleton
"William Petty, 2nd Earl of Shelburne",Horace Mann
"William Petty, 2nd Earl of Shelburne",Gavin Hamilton
"William Petty, 2nd Earl of Shelburne",James Forrester
"William Petty, 2nd Earl of Shelburne",Fr. John Thorpe
"William Petty, 2nd Earl of Shelburne",Abbe Peter Grant
"William Petty, 2nd Earl of Shelburne",Thomas Jenkins
"William Petty, 2nd Earl of Shelburne","Clement XIV, Pope"
"William Petty, 2nd Earl of Shelburne",Lady Sophia Carteret
Edmond Henry Pery,Henry Tresham
Edmond Henry Pery,James Byres
Edmond Henry Pery,Abbe Winckelman
"David Murray, 7th Viscount Stormont",Lord Rochford
"David Murray, 7th Viscount Stormont",Horace Mann
"David Murray, 7th Viscount Stormont",Henry Seymour Conway
"David Murray, 7th Viscount Stormont",Cardinal Albani
"David Murray, 7th Viscount Stormont",Abbe Peter Grant
"David Murray, 7th Viscount Stormont",Winckelmann
"David Murray, 7th Viscount Stormont",Batoni
"David Murray, 7th Viscount Stormont",Lady Rochford
Dr Charles Burney,Belsozzi
Dr Charles Burney,Galuppi
Dr Charles Burney,Sacchini
Dr Charles Burney,G.B. Martini
Dr Charles Burney,Farinelli
Dr Charles Burney,Thomas Linley
Dr Charles Burney,Duke of Dorset
Dr Charles Burney,William Beckford
Dr Charles Burney,Charles Wiseman
Dr Charles Burney,Piranesi
Dr Charles Burney,Capt. John Forbes
Dr Charles Burney,Mrs Hamilton
Dr Charles Burney,Garrick
Dr Charles Burney,Pugnani
Dr Charles Burney,Mozart
Dr Charles Burney,Lord Fortrose
Dr Charles Burney,Caffarelli
John Wedgwood,Henry Webber
Mrs Anne Miller,Mrs Delany
Mrs Anne Miller,Hon. Horace Walpole
Mrs Anne Miller,Madama Aldrovandi
Mrs Anne Miller,Cardinal de Bernis
Mrs Anne Miller,Farinelli
Mrs Anne Miller,Mr John Miller
Mrs Anne Miller,Mrs Riggs
Mrs Anne Miller,Contessa Orsi
Mrs Anne Miller,Cardinal Legate
Mrs Anne Miller,Duckess of Bracciano
Mrs Anne Miller,Princess Palestrina
Mrs Anne Miller,Charles Edward Louis Philip Casimir Stuart
Hon. Horace Walpole,Thomas Gray
Hon. Horace Walpole,Sir Robert Walpole
Hon. Horace Walpole,Horace Mann
Hon. Horace Walpole,Princess de Craon
Hon. Horace Walpole,Prince de Beauvau
Hon. Horace Walpole,Lady Pomfret
Hon. Horace Walpole,Lday Sophia Fermor
Hon. Horace Walpole,Lady Charlotte Fermor
Hon. Horace Walpole,"Clement XII, Pope"
Hon. Horace Walpole,Filippo della Valle
Hon. Horace Walpole,Elisabetta Capponi
Hon. Horace Walpole,Marchese Griffoni
Hon. Horace Walpole,Ferdinand Richter
Hon. Horace Walpole,Lady Walpole
Hon. Horace Walpole,Samuel Sturgis
Hon. Horace Walpole,"Charlotte Aglae d'Orleans, Duchess of Modena"
Hon. Horace Walpole,Lord Lincoln
Hon. Horace Walpole,Joseph Spence
Hon. Horace Walpole,Dr. Cocchi
Hon. Horace Walpole,Francis Withed
Hon. Horace Walpole,John Chute
Hon. Horace Walpole,Rosalba Carriera
Hon. Horace Walpole,"Pietro Grimani, Doge of Venice"
Hon. Horace Walpole,Princess de Craon
Hon. Horace Walpole,"Francis I, Grand Duke of Tuscany"
Hon. Horace Walpole,Charles Edward Louis Philip Casimir Stuart
Hon. Charles Francis Greville,James Byres
Hon. Charles Francis Greville,Anne Forbes
Hon. Charles Francis Greville,Calabresi
Hon. Charles Francis Greville,"Emma, Lady Hamilton"
Hon. Charles Francis Greville,Charles Townley
Hon. Charles Francis Greville,William Lock
Hon. Charles Francis Greville,Gavin Hamilton
Hon. Charles Francis Greville,Patch
Isaac Jamineau,James Douglas
Isaac Jamineau,William Preston
Isaac Jamineau,Lord Baltimore
Isaac Jamineau,Abbe Peter Grant
Isaac Jamineau,"Emma, Lady Hamilton"
Isaac Jamineau,Dr Charles Burney
Isaac Jamineau,John Morgan
Isaac Jamineau,Benjamin West
Isaac Jamineau,Angelica Kauffman
Isaac Jamineau,J.S. Copley
George Cumberland,James James Irvine
George Cumberland,Robert Fagan
George Cumberland,Henry Quin
George Cumberland,Hugh Douglas Hamilton
George Cumberland,Grignion
George Cumberland,Col. John Campbell
George Cumberland,Cardinal Doria
George Cumberland,Charles Long
George Cumberland,Mrs Elizabeth Cooper
George Cumberland,Robinson
George Cumberland,Mr Cooper
George Cumberland,James Byres
George Cumberland,Christopher Hewetson
George Cumberland,James Clark
George Cumberland,Bonasoni
George Cumberland,Tresham
George Cumberland,Deare 
George Cumberland,Skirving
"George Finch, 9th Earl of Winchilsea",Lady Charlotte Fermor
"George Finch, 9th Earl of Winchilsea","Thomas, 1st Earl of Pomfret"
"George Finch, 9th Earl of Winchilsea",Loraine Smith
"George Finch, 9th Earl of Winchilsea",Doughty
"George Finch, 9th Earl of Winchilsea",Uguccioni
"George Finch, 9th Earl of Winchilsea",Zoffany
"George Finch, 9th Earl of Winchilsea",Valentine Knightley
"George Finch, 9th Earl of Winchilsea",Abbe Peter Grant
"George Finch, 9th Earl of Winchilsea",Felton Hervey
"George Finch, 9th Earl of Winchilsea",Batoni
"George Finch, 9th Earl of Winchilsea",Dr Alexander Drummond
"George Finch, 9th Earl of Winchilsea",James Clark
"George Finch, 9th Earl of Winchilsea",Isaac Jamineau
"George Finch, 9th Earl of Winchilsea",Thomas Dashwood
"George Finch, 9th Earl of Winchilsea",James Hugh Smith Barry
"George Finch, 9th Earl of Winchilsea",George Wilbraham
"George Finch, 9th Earl of Winchilsea","Clement XIV, Pope"
"John Child, 2nd Earl Tylney",Robery Harvey
"John Child, 2nd Earl Tylney",Lady Mary Coke
"John Child, 2nd Earl Tylney",William Beckford
"John Child, 2nd Earl Tylney","Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper"
"John Child, 2nd Earl Tylney",Charles Long
"John Child, 2nd Earl Tylney",Gibbon
"John Child, 2nd Earl Tylney",Lord Charlemont
"John Child, 2nd Earl Tylney",Wilton
"John Child, 2nd Earl Tylney",Patch
"John Child, 2nd Earl Tylney",Thomas Chase
"John Child, 2nd Earl Tylney",Josiah Child
"John Child, 2nd Earl Tylney",James Long
William Beckford,Louisa Pitt
William Beckford,Peter Beckford
William Beckford,William Courtenay
William Beckford,John Lettice
William Beckford,Mme de Rosenberg
William Beckford,Alexander Cozens
William Beckford,James James Irvine
William Beckford,"Emma, Lady Hamilton"
William Beckford,J.R. Cozens
William Beckford,John Burton
William Beckford,Thomas Jones
William Beckford,Cornaro
William Beckford,Dr Projectus Errhardt
William Beckford,Dr Alexander Drummond
Abbe Peter Grant,Cardinal Riviera
Abbe Peter Grant,Limisden
Abbe Peter Grant,Albani
Abbe Peter Grant,Henry Swinburne
Abbe Peter Grant,Lord Balmerinoch
Abbe Peter Grant,James Grant
Abbe Peter Grant,Bishop Hay
Abbe Peter Grant,"Clement XIV, Pope"
Abbe Peter Grant,"Pius VI, Pope"
Abbe Peter Grant,Philip Francis
Abbe Peter Grant,Jacob Ennis
Abbe Peter Grant,Lady Mary Wortley Montagu
Abbe Peter Grant,Lord Pomfret
Abbe Peter Grant,George Pitt
Abbe Peter Grant,Katherine Read
Abbe Peter Grant,Anne Forbes
Abbe Peter Grant,Robert Adam
Abbe Peter Grant,Allan Ramsay
Abbe Peter Grant,Robert Wood
Abbe Peter Grant,James Adam
Abbe Peter Grant,Sir William Stanhope
Abbe Peter Grant,Robery Mylne
Abbe Peter Grant,William Chambers
Abbe Peter Grant,Catherine More
Abbe Peter Grant,Patch
Abbe Peter Grant,Muti
Abbe Peter Grant,John Parker
Abbe Peter Grant,Nathaniel Dance
Abbe Peter Grant,Plimmer
Abbe Peter Grant,Christopher Hewetson
Abbe Peter Grant,Angelica Kauffman
Abbe Peter Grant,Hugh Douglas Hamilton
Abbe Peter Grant,John Ramsay
Abbe Peter Grant,Plura
Abbe Peter Grant,Tibaldi
Abbe Peter Grant,Fr. John Thorpe
Abbe Peter Grant,Charles Parker
Abbe Peter Grant,John Thomson
Abbe Peter Grant,Joseph Denham
Abbe Peter Grant,3rd Earl of Bute
Abbe Peter Grant,"James Stuart, the Pretender"
Abbe Peter Grant,Charles Edward Louis Philip Casimir Stuart
Abbe Peter Grant,"William Boyd, 4th Earl of Kilmarnock"
Abbe Peter Grant,Lord Lincoln
Abbe Peter Grant,Princess Colonna
Abbe Peter Grant,Lady Stanhope
Abbe Peter Grant,Marquis Tannucci
Abbe Peter Grant,Lord Charlemont
Abbe Peter Grant,Piranesi
Abbe Peter Grant,Mrs Denham
Abbe Peter Grant,Lady Pomfret
Thomas Jones,Richard Wilson
Thomas Jones,Christopher Norton
Thomas Jones,Thomas Hardwick
Thomas Jones,Hadfield
Thomas Jones,"William Henry, Duke of Gloucester"
Thomas Jones,Piranesi
Thomas Jones,Tresham
Thomas Jones,William Pars
Thomas Jones,J.R. Cozens
Thomas Jones,Thomas Banks
Thomas Jones,Bishop of Derry
Thomas Jones,Count Edouard Dillon
Thomas Jones,Giuseppe Plura
Thomas Jones,James Clark
Thomas Jones,Jacob More
Thomas Jones,John Henderson
Thomas Jones,James Smith
Thomas Jones,Stephen Storace
Thomas Jones,John Soane
Thomas Jones,Mengs
Thomas Jones,"Sir Watkin Williams, 4th Bt. Wynn"
Thomas Jones,Maria Moncke
Thomas Jones,Anna Maria Jones
Thomas Jones,Philip Yorke
Thomas Jones,Francis Towne
Thomas Jones,Elizabeth Francesca Jones
Thomas Jones,Francesco Rinaldi
Thomas Jones,Giuseppe Benito
Thomas Jones,Thomas Francis
Thomas Jones,Don Luigi Micheli
Thomas Jones,Don Tito Lusieri
Thomas Jones,Angelica Kauffman
Thomas Jones,Venuti
Thomas Jones,Philipp Hackert
Thomas Jones,Blackden
Thomas Jones,Sormanj
Thomas Jones,R.W.F Brettingham
Thomas Jones,Mrs Sherry
Thomas Jones,Volaire
Thomas Jones,Conca
Thomas Jones,Daughter of Mengs
Allan Ramsay ,Alexander Cunyngham
Allan Ramsay ,Johsua Reynolds
Allan Ramsay ,Francesco Imperiali
Allan Ramsay ,Batoni
Allan Ramsay ,Camillo Paderni
Allan Ramsay ,Samuel Torriano
Allan Ramsay ,Billy Britsow
Allan Ramsay ,James Clark
Allan Ramsay ,James Thomson
Allan Ramsay ,George Turnbull
Allan Ramsay ,Dr Richard Mead
Allan Ramsay ,Catherine Ramsay
Allan Ramsay ,Margaret Lindsay
Allan Ramsay ,Clerisseau
Allan Ramsay ,Piranesi
Allan Ramsay ,Robert Wood
Allan Ramsay ,Andrew Lumisden
Allan Ramsay ,Ameilia Ramsay
Allan Ramsay ,David Martin
Allan Ramsay ,John Burgoyne
Allan Ramsay ,Robert Adam
Allan Ramsay ,Fr. John Thorpe
Allan Ramsay ,Michael Foy
Allan Ramsay ,Count Orsini
Allan Ramsay ,J.R. Cozens
Allan Ramsay ,Hugh Douglas Hamilton
Allan Ramsay ,Gavin Hamilton
Allan Ramsay ,Jacob More
Allan Ramsay ,Angelica Kauffman
Allan Ramsay ,Lord Breadalbane
Allan Ramsay ,"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper"
Allan Ramsay ,Father Jacquier
Allan Ramsay ,John Ramsay
Allan Ramsay ,Philipp Hackert
Allan Ramsay ,Charles Parker
Allan Ramsay ,Lord Tylney
Allan Ramsay ,Lord Grandison
Allan Ramsay ,Horace Mann
Allan Ramsay ,Robery Merry
Allan Ramsay ,Horace Walpole
Allan Ramsay ,"Edward Clive, 2nd Baron Clive"
Allan Ramsay ,Fuseli
Allan Ramsay ,Hysing
Allan Ramsay ,Solimena
Allan Ramsay ,"Robert Smith, Master of Trinity College"
Allan Ramsay ,Pecheaux
Allan Ramsay ,Lord Shaftesbury
George Romney,Ozias Humphry
George Romney,Fr. John Thorpe
George Romney,"George Greville, 2nd Earl of Warwick"
George Romney,Valentine Green
George Romney,Richard Cumberland
George Romney,"Thomas, 7th Viscount Bulkeley"
George Romney,Hon. Charles Francis Greville
George Romney,Thomas Jenkins
George Romney,Thomas Patch
George Romney,"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper"
George Romney,Horace Mann
George Romney,John Udny
George Romney,Edward Wortley Montagu
George Romney,Joseph Wright
George Romney,Matthew William Peters
George Romney,"Clement XIV, Pope"
George Romney,"William Henry, Duke of Gloucester"
George Romney,Fuseli
"Elizabeth, Lady Webster",Sir Godfrey Webster
"Elizabeth, Lady Webster",Bonvoisin
"Elizabeth, Lady Webster",Lady Duncannon
"Elizabeth, Lady Webster",Lady Malmesbury
"Elizabeth, Lady Webster",Spallanzani
"Elizabeth, Lady Webster",Lady Plymouth
"Elizabeth, Lady Webster",Italinski
"Elizabeth, Lady Webster",Hon. Thomas Pelham
"Elizabeth, Lady Webster",Henry Swinburne
"Elizabeth, Lady Webster",Robert Fagan
"Elizabeth, Lady Webster",Colin Morison
"Elizabeth, Lady Webster",Hodges
"Elizabeth, Lady Webster","Elizabeth (Hervey), Lady Foster"
"Elizabeth, Lady Webster",Lady Hervey
"Elizabeth, Lady Webster",Prince Augustus Frederick
"Elizabeth, Lady Webster",Felix Fontana
"Elizabeth, Lady Webster",Countess of Albany
"Elizabeth, Lady Webster",Count Alfieri
"Elizabeth, Lady Webster",Dr John Stewart
"Elizabeth, Lady Webster",Gianetti
"Elizabeth, Lady Webster","Henry, 3rd Baron Holland"
"Elizabeth, Lady Webster",Rev. Matthew Marsh
"Elizabeth, Lady Webster","Pius VI, Pope"
"Elizabeth, Lady Webster",Garrick
"Elizabeth, Lady Webster",Mr William Wyndham
"Elizabeth, Lady Webster",Harriet Frances Webster
"Elizabeth, Lady Webster",Gauffier
"Elizabeth, Lady Webster",William Pitt Amherst
"Elizabeth, Lady Webster",George Cornewall
"Elizabeth, Lady Webster",Dr Thompson
